code;description;description_additional
C44.3;Piel de otras partes y las no especificadas de la cara;Ala nasal Columela Ceja Frente Frente, SAI Mejilla externa Mentón, SAI Nariz externa Piel de: • cara • frente • mandíbula • mejilla • mentón • nariz • sien Sien, SAI
C44.5;Piel del tronco;Piel de: • abdomen • ano • axila • espalda • flanco • ingle • mama • nalga • ombligo • pared abdominal • pared torácica • pecho • periné • región escapular • región glútea • región infraclavicular • región inguinal • región sacrococcígea • tórax • tronco Ombligo, SAI Piel perianal
C44.6;Piel de la extremidad superior y del hombro;Piel de: • antebrazo • brazo • codo • dedo • espacio cubital anterior • extremidad superior • hombro • mano • muñeca • palma • pulgar Piel palmar Uña del dedo
C44.8;Lesión solapada, que comparte los límites de dos o más subcategorías de la piel;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C47.2;Nervios periféricos y sistema nervioso autónomo de la extremidad inferior y la cadera;Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • cadera • dedo • hueco poplíteo • muslo • pantorrilla • pie • pierna • plantar • rodilla • talón • tobillo Nervio ciático Nervio femoral Nervio obturador
C47.4;Nervios periféricos y sistema nervioso autónomo del abdomen;Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • ombligo • pared abdominal
C47.6;Nervios periféricos y sistema nervioso autónomo del tronco, SAI;Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • espalda • flanco • tronco Nervio lumbar
C47.9;Sistema nervioso autónomo, SAI;Ganglio, SAI Nervio, SAI Nervio espinal, SAI Nervio periférico, SAI Sistema nervioso parasimpático, SAI Sistema nervioso simpático, SAI
C47.0;Nervios periféricos y sistema nervioso autónomo de la cabeza, la cara y el cuello (excluye Nervios periféricos y Sistema nervioso autónomo de la órbita C69.6);(excluye nervios periféricos y sistema nervioso autónomo de la órbita, C69.6) Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • cabeza • cara • cuello • cuero cabelludo • fosa pterigoidea • frente • mejilla • mentón • región cervical • región supraclavicular • sien Plexo cervical
C47.1;Nervios periféricos y sistema nervioso autónomo de la extremidad superior y el hombro;Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • antebrazo • brazo • codo • dedo • espacio cubital anterior • hombro • mano • muñeca • pulgar Nervio braquial Nervio cubital Nervio mediano Nervio radial Plexo braquial
C47.3;Nervios periféricos y sistema nervioso autónomo del tórax;Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • axila • pared del pecho • pared torácica • pecho • región escapular • región infraclavicular Nervio intercostal
C47.5;Nervios periféricos y sistema nervioso autónomo de la pelvis;Nervios periféricos y sistema nervioso autónomo de (ver lista bajo C47): • ingle • nalga • perineo • región glútea • región inguinal • región sacrococcígea Nervio sacro Plexo lumbosacro Plexo sacro
C47.8;Lesión solapada, que comparte los límites de dos o más subcategorías de los nervios periféricos y el sistema nervioso autónomo;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C48.2;Peritoneo, SAI;Cavidad peritoneal
C48.0;Retroperitoneo;Tejido periadrenal Tejido perinéfrico Tejido peripancreático Tejido perirrenal Tejido retrocecal Tejido retroperitoneal
C48.1;Partes especificadas del peritoneo;Epiplón Mesenterio Mesoapéndice Mesocolon Omento Peritoneo pélvico Saco rectouterino Fondo de saco Saco de Douglas (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C48.8;Lesión solapada, que comparte los límites de dos o más subcategorías del retroperitoneo y peritoneo;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C49.1;Tejido conjuntivo, subcutáneo y otros tejidos blandos de la extremidad superior y hombro;Tejido conjuntivo, subcutáneo y otros tejidos blandos de (ver lista bajo C49): • antebrazo • brazo • codo • dedo • espacio antecubital • hombro • mano • muñeca • pulgar Aponeurosis palmar Arteria cubital Arteria radial Fascia palmar Músculo bíceps braquial Músculo braquial Músculo coracobraquial Músculo deltoides Músculo tríceps braquial
C49.5;Tejido conjuntivo, subcutáneo y otros tejidos blandos de la pelvis;Tejido conjuntivo, subcutáneo y de otros tejidos blandos de (ver lista bajo C49): • ingle • nalga • perineo • región glútea • región inguinal • región sacrococcígea Arteria ilíaca Músculo glúteo mayor Vena ilíaca
C49.6;Tejido conjuntivo, subcutáneo y otros tejidos blandos del tronco, SAI;Tejido conjuntivo, subcutáneo y otros tejidos blandos de (ver lista bajo C49): • espalda • flanco • tronco
C49.0;Tejido conjuntivo, subcutáneo y otros tejidos blandos de la cabeza, la cara y el cuello (excluye Tejido conjuntivo de la órbita C69.6 y Cartílago nasal C30.0);(excluye tejido conectivo de la órbita, C69.6, y cartílago nasal, C30.0) Tejido conjuntivo, subcutáneo y otros tejidos blandos de (ver lista bajo C49): • cabeza • cara • cuello • cuero cabelludo • fosa pterigoidea • frente • mejilla • mentón • región cervical • región supraclavicular • sien Arteria carótida Cartílago auricular Cartílago del oído Músculo esternocleidomastoideo Músculo masetero
C49.2;Tejido conjuntivo, subcutáneo y otros tejidos blandos de la extremidad inferior y cadera;Tejido conjuntivo, subcutáneo y otros tejidos blandos de (ver lista bajo C49): • cadera • dedo • hueco poplíteo • muslo • pantorrilla • pie • pierna • rodilla • talón • tobillo Aponeurosis plantar Arteria femoral Fascia plantar Músculo bíceps femoral Músculo cuádriceps femoral Músculo gastrocnemio
C49.3;Tejido conjuntivo, subcutáneo y otros tejidos blandos del tórax (excluye Timo C37.9, Corazón y Mediastino C38._);(excluye timo, C37.9, corazón y mediastino, C38._) Tejido conjuntivo, subcutáneo y otros tejidos blandos de (ver lista bajo C49): • axila • pared pectoral • pared torácica • pecho • región escapular • región infraclavicular • tórax Aorta, SAI Arteria axilar Arteria mamaria interna Arteria subclavia Conducto torácico Diafragma Músculo dorsal largo Músculo intercostal Músculo pectoral mayor Músculo trapecio Vena cava superior
C49.4;Tejido conjuntivo, subcutáneo y otros tejidos blandos del abdomen;Tejido conjuntivo, subcutáneo y otros tejidos blandos de (ver lista bajo C49): • abdomen • ombligo • pared abdominal Aorta abdominal Arteria celíaca Arteria mesentérica Arteria renal Músculo de la pared abdominal Músculo iliopsoas Músculo psoas Músculo recto abdominal Vena cava, SAI Vena cava abdominal Vena cava inferior
C49.8;Lesión solapada, que comparte los límites de dos o más subcategorías del tejido conjuntivo,subcutáneo y otros tejidos blandos;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C49.9;Tejido conjuntivo, subcutáneo y otros tejidos blandos, SAI;Aponeurosis, SAI Arteria, SAI Bolsa sinovial, SAI Fascia, SAI Ligamento, SAI Linfático, SAI Músculo, SAI Músculo esquelético, SAI Sinovia, SAI Tejido, SAI Tejido adiposo, SAI Tejido conectivo, SAI Tejido fibroso, SAI Tejido subcutáneo, SAI Tendón, SAI Vaina tendinosa, SAI Vaso, SAI Vaso sanguíneo, SAI Vena, SAI
C50.0;Pezón;Aréola
C50.1;Porción central de la mama;
C50.2;Cuadrante superior interno de la mama;
C50.3;Cuadrante inferior interno de la mama;
C50.4;Cuadrante superior externo de la mama;
C50.5;Cuadrante inferior externo de la mama;
C50.6;Prolongación axilar de la mama;Cola de la mama, SAI
C50.8;Lesión solapada, que comparte los límites de dos o más subcategorías de la mama;Línea media de la mama Mama externa Mama inferior Mama interna Mama superior (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C50.9;Mama, SAI (excluye Piel de la mama C44.5);Glándula mamaria
C51.0;Labio mayor;Labios mayores, SAI Glándula de Bartholin Piel de los labios mayores
C51.1;Labio menor;Labios menores
C51.2;Clítoris;
C51.9;Vulva, SAI;Labio, SAI Labios, SAI Genitales femeninos externos Horquilla vulvar Monte púbico Monte de Venus Piel de la vulva Pudendo
C51.8;Lesión solapada, que comparte los límites de dos o más subcategorías de la vulva;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C52.9;Vagina, SAI;Conducto de Gartner Cúpula vaginal Fórnix vaginal Himen
C53.0;Endocérvix;Orificios internos Canal cervical Canal endocervical Glándula de Naboth Glándula endocervica
C53.1;Exocérvix;Orificios externos
C53.9;Cuello del útero, SAI;Cérvix, SAI Cérvix uterino
C53.8;Lesión solapada, que comparte los límites de dos o más subcategorías del cuello del útero;Muñón cervical Unión escamocolumnar del cuello uterino (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C54.0;Istmo del útero;Segmento inferior del útero
C54.1;Endometrio;Estroma endometrial Glándula endometrial
C54.2;Miometrio;
C54.3;Fondo del útero;
C54.9;Cuerpo del útero, SAI;Cuerpo del útero
C54.8;Lesión solapada, que comparte los límites de dos o más subcategorías del cuerpo del útero;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C55.9;Utero, SAI;Uterino, SAI
C56.9;Ovario;
C57.0;Trompa de Falopio;Tubo uterino
C57.1;Ligamento ancho;Mesoovario Región paraovárica
C57.2;Ligamento redondo;
C57.3;Parametrio;Ligamento uterino Ligamento uterosacro
C57.4;Anexos uterinos;Anexos, SAI
C57.7;Otras localizaciones especificadas del aparato genital femenino;Conducto de Wolffian Cuerpo de Wolffian
C57.9;Aparato genital femenino, SAI;Órganos genitales femeninos, SAI Tabique uretrovaginal Tabique vesicovaginal Tejido vesicocervical Tracto genital femenino, SAI
C57.8;Lesión solapada del aparato genital femenino;Nota: neoplasias de los órganos genitales femeninos cuyo sitio de origen no puede ser asignado a ninguna de las categorías C51 a C57.7, C58. Tuboováricos Uteroováricos
C58.9;Placenta;Membranas fetales
C60.0;Prepucio;Piel del prepucio
C60.1;Glande;
C60.9;Pene, SAI;Piel del pene
C60.2;Cuerpo del pene;Cuerpo cavernoso Cuerpo del pene
C60.8;Lesión solapada, que comparte los límites de dos o más subcategorías del pene;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C61.9;Glándula prostática;Próstata, SAI
C62.0;Testículo no descendido (localización del tumor);Testículo ectópico (sitio de la neoplasia) Testículo retenido (sitio de la neoplasia)
C62.1;Testículo descendido;Testículo escrotal
C62.9;Testículo, SAI;Testículo, SAI
C63.0;Epidídimo;
C63.2;Escroto, SAI;Piel del escroto
C63.7;Otras localizaciones especificadas del aparato genital masculino;Túnica vaginal Vesícula seminal
C63.9;Aparato genital masculino, SAI;Tracto genital masculino, SAI Tracto genitourinario, SAI
C63.1;Cordón espermático;Vasos deferentes
C63.8;Lesión solapada del aparato genital masculino;Nota: neoplasias de los órganos genitales masculinos cuyo sitio de origen no puede ser asignado a ninguna de las categorías C60 a C63.7.
C64.9;Riñón, SAI;Parénquima renal Renal, SAI
C65.9;Pelvis renal;Pelvis del riñón Cálices renales Cáliz renal Unión pelviureteral
C66.9;Uréter;
C67.0;Trígono vesical;
C67.1;Cúpula vesical;
C67.2;Pared lateral de la vejiga;
C67.3;Pared anterior de la vejiga;
C67.4;Pared posterior de la vejiga;
C67.5;Cuello vesical;Orificio uretral interno
C67.6;Orificio ureteral;
C67.7;Uraco;
C67.9;Vejiga, SAI;Pared de la vejiga urinaria, SAI Vejiga urinaria, SAI
C67.8;Lesión solapada, que comparte los límites de dos o más subcategorías de la vejiga;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C68.0;Uretra;Glándula de Cowper Glándula uretral Utrículo prostático
C68.1;Glándula parauretral;
C68.9;Aparato urinario, SAI;
C68.8;Lesión solapada del aparato urinario;Nota: neoplasias de los órganos urinarios cuyo sitio de origen no puede ser asignado a ninguna de las categorías C64 a C68.1.
C69.0;Conjuntiva;
C69.1;Córnea, SAI;Limbo de la córnea
C69.2;Retina;
C69.3;Coroides;
C69.4;Cuerpo ciliar;Esclerótica Globo ocular Intraocular Iris Lentes cristalinas Tracto uveal
C69.9;Ojo, SAI;
C69.5;Glándula lagrimal;Conducto lagrimal, SAI Conducto nasolacrimal Conducto nasolagrimal Saco lacrimal
C69.6;Orbita, SAI;Músculo extraocular Nervios periféricos de la órbita Sistema nervioso autónomo de la órbita Tejido blando de la órbita Tejido conjuntivo de la órbita Tejido retrobulbar
C69.8;Lesión solapada, que comparte los límites de dos o más subcategorías del ojo y anexos;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C70.0;Meninges cerebrales;Aracnoides intracraneal Duramadre craneal Hoz, SAI Hoz del cerebelo Hoz del cerebro Meninges craneales Meninges intracraneales Piamadre craneal Tentorio del cerebelo Tentorio, SAI
C70.9;Meninges, SAI;Aracnoides, SAI Dura, SAI Duramadre, SAI Piamadre, SAI
C70.1;Meninges espinales;Aracnoides espinal Duramadre espinal Piamadre espinal
C71.1;Lóbulo frontal;Polo frontal
C71.2;Lóbulo temporal;Hipocampo Uncus
C71.3;Lóbulo parietal;
C71.6;Cerebelo, SAI;Ángulo pontocerebeloso Vermis del cerebelo
C71.9;Encéfalo, SAI;Fosa craneal, SAI Fosa craneal anterior Fosa craneal media Fosa craneal posterior Localización intracraneal Supraselar
C71.0;Cerebro, SAI;Cápsula interna Corteza cerebral Cuerpo estriado Encéfalo supratentorial, SAI Ganglios basales Globus pallidus Hemisferio cerebral Hipotálamo Ínsula Islote de Reil Opérculo Palio Putamen Rinencéfalo Sustancia blanca central Sustancia blanca cerebral Tálamo
C71.4;Lóbulo occipital;Polo occipital
C71.5;Ventrículo, SAI;Epéndimo Plexo coroideo, SAI Plexo coroideo del tercer ventrículo Plexo coroideo del ventrículo lateral Tercer ventrículo, SAI Ventrículo cerebral Ventrículo lateral, SAI
C71.7;Tallo cerebral;Cuarto ventrículo, SAI Encéfalo infratentorial, SAI Médula oblonga Mesencéfalo Oliva Pedúnculo cerebral Pedúnculo basal Pirámide Plexo coroideo del cuarto ventrículo Puente de Varolio
C71.8;Lesión solapada, que comparte los límites de dos o más subcategorías del encéfalo;Cuerpo calloso Tapetum (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C72.1;Cola de caballo;
C72.2;Nervio olfatorio;
C72.3;Nervio óptico;Quiasma óptico Tracto óptico
C72.4;Nervio auditivo;
C72.9;Sistema nervioso, SAI;Epidural Extradural Parasellar Sistema nervioso centra
C72.0;Médula espinal;Cono medular Filum terminale Médula cervical Médula lumbar Médula sacra Médula torácica
C72.5;Nervio craneal, SAI;Nervio abductor Nervio accesorio, SAI Nervio accesorio espinal Nervio facial Nervio glosofaríngeo Nervio hipogloso Nervio motor ocular Nervio trigémino Nervio troclear Nervio vago
C72.8;Lesión solapada del encéfalo y sistema nervioso central;Nota: neoplasias del encéfalo y el sistema nervioso central cuyo sitio de origen no puede ser asignado a ninguna de las categorías C70 a C72.5
C73.9;Glándula tiroides;Tiroides, SAI Conducto tirogloso
C74.0;Corteza suprarrenal;
C74.1;Médula suprarrenal;
C74.9;Glándula suprarrenal, SAI;Adrenal, SAI Glándula adrenal
C75.0;Glándula paratiroides;
C75.1;Hipófisis;Hipófisis Pituitaria, SAI Bolsa de Rathke Fosa pituitaria Silla turca
C75.2;Conducto craneofaríngeo;
C75.3;Glándula pineal;
C75.4;Cuerpo carotídeo;
C75.9;Glándula endocrina, SAI;
C75.5;Cuerpo aórtico y otros paraganglios;Cuerpo coccígeo Cuerpo paraaórtico Órgano de Zuckerkandl Glomo coccígeo Glomo yugular Paraganglio
C75.8;Lesión solapada, que comparte los límites de dos o más subcategorías de las glándulas endocrinas y estructuras afines;Glándulas endocrinas múltiples Pluriglandular (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C76.0;Cabeza, cara, cuello, SAI;Maxilar, SAI Mejilla, SAI Nariz, SAI Región cervical, SAI Región supraclavicular, SAI
C76.2;Abdomen, SAI;Pared abdominal, SAI Sitio intrabdominal, SAI
C76.4;Extremidad superior, SAI;Antebrazo, SAI Brazo, SAI Codo, SAI Dedo, SAI Espacio cubital anterior, SAI Hombro, SAI Mano, SAI Muñeca, SAI Pulgar, SAI
C76.7;Otras localizaciones mal definidas;Espalda, SAI Flanco, SAI Tronco, SAI
C76.1;Tórax, SAI;Axila, SAI Pared del pecho, SAI Pared torácica, SAI Pecho, SAI Región escapular, SAI Región infraclavicular, SAI Sitio intratorácico, SAI Tórax, SAI
C76.3;Pelvis, SAI;Fosa isquiorrectal Ingle, SAI Nalga, SAI Pared pelviana, SAI Periné, SAI Región glútea, SAI Región inguinal, SAI Región perirrectal, SAI Región presacra, SAI Región sacrococcígea, SAI Tabique rectovaginal Tabique rectovesical
C76.5;Extremidad inferior, SAI;Cadera, SAI Dedo, SAI Hueco poplíteo, SAI Muslo, SAI Pantorrilla, SAI Pie, SAI Pierna, SAI Rodilla, SAI Talón, SAI Tobillo, SAI
C76.8;Lesión solapada, que comparte los límites de dos o más subcategorías de localizaciones mal definidas;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C77.8;Ganglios linfáticos de regiones múltiples;
C77.9;Ganglio linfático, SAI;
C77.3;Ganglios linfáticos de la axila y la extremidad superior;Ganglio linfático axilar Ganglio linfático braquial Ganglio linfático cubital Ganglio linfático de la extremidad superior Ganglio linfático epitroclear Ganglio linfático infraclavicular Ganglio linfático pectoral Ganglio linfático subclavicular Ganglio linfático subescapular
C77.0;Ganglios linfáticos de la cabeza, la cara y el cuello;Ganglio linfático auricular Ganglio linfático cervical Ganglio linfático escaleno Ganglio linfático facial Ganglio linfático mandibular Ganglio linfático occipital Ganglio linfático parotídeo Ganglio linfático preauricular Ganglio linfático prelaríngeo Ganglio linfático pretraqueal Ganglio linfático retrofaríngeo Ganglio linfático sublingual Ganglio linfático submandibular Ganglio linfático submaxilar Ganglio linfático submentoniano Ganglio linfático supraclavicular Ganglio linfático yugular
C77.1;Ganglios linfáticos intratorácicos;Ganglio linfático broncopulmonar Ganglio linfático bronquial Ganglio linfático diafragmático Ganglio linfático esofágico Ganglio linfático hiliar Ganglio linfático hiliar pulmonar Ganglio linfático innominado Ganglio linfático intercostal Ganglio linfático mediastínico Ganglio linfático paraesternal Ganglio linfático pulmonar Ganglio linfático torácico Ganglio linfático traqueal Ganglio linfático traqueobronquial
C77.2;Ganglios linfáticos intrabdominales;Ganglio linfático abdominal Ganglio linfático aórtico Ganglio linfático celíaco Ganglio linfático cólico Ganglio linfático del conducto común Ganglio linfático esplénico, SAI Ganglio linfático gástrico Ganglio linfático hepático Ganglio linfático hiliar esplénico Ganglio linfático ileocólico Ganglio linfático intestinal Ganglio linfático lumbar Ganglio linfático mesentérico, SAI Ganglio linfático mesentérico inferior Ganglio linfático mesentérico superior Ganglio linfático mesocólico Ganglio linfático pancreático, SAI Ganglio linfático paraaórtico Ganglio linfático periaórtico Ganglio linfático peripancreático Ganglio linfático pilórico Ganglio linfático portahepático Ganglio linfático portal Ganglio linfático retroperitoneal 
C77.4;Ganglios linfáticos de la región inguinal y la extremidad inferior;Ganglio linfático crural Ganglio linfático de Cloquet Ganglio linfático de la extremidad inferior Ganglio linfático de Rosenmüller Ganglio linfático femoral Ganglio linfático inguinal Ganglio linfático poplíteo Ganglio linfático subinguinal Ganglio linfático tibial
C77.5;Ganglios linfáticos de la pelvis;Ganglio linfático epigástrico inferior Ganglio linfático hipogástrico Ganglio linfático ilíaco Ganglio linfático intrapélvico Ganglio linfático obturador Ganglio linfático paracervical Ganglio linfático parametrial Ganglio linfático presinfisial Ganglio linfático sacro
C80.9;Localización primaria desconocida;
